Total Profit/Loss: 1000
Total Profit/Loss Percentage: 2.63%

Individual Trades:
 TradeID  Cost  Profit/Loss  Profit/Loss %
       1  5000          200       4.000000
       2  3000          -50      -1.666667
       3  4000          300       7.500000
       4  6000          400       6.666667
       5  7000         -100      -1.428571
       6  2000           50       2.500000
       7  1000            0       0.000000
       8  2500          150       6.000000
       9  3500         -200      -5.714286
      10  4000          250       6.250000
